date,wind,part_time_count,worker_strong_count,worker_trend_count,worker_strong_list,worker_trend_list,boss_pullback_list,boss_bargain_list,top_revenue_list,last_updated
2025 11-14,無風,12,21,12,,,台達電、川湖、高力,台達電、高力,台積電、鴻海、台達電、富喬、群聯、奇鋐,2026/1/5 18:55
2025 11-13,陣風,35,25,12,尖點、宇瞻,,川湖、高力、晶呈科技,台達電、川湖、高力,富喬、台積電、鴻海、群聯、台達電、尖點,2026/1/5 18:55
2025 11-12,陣風,32,15,14,富世達、宇瞻,,晶呈科技,台達電、川湖、高力,台積電、鴻海、台達電、台燿、富喬、奇鋐,2026/1/5 18:55
2025 11-11,無風,19,20,7,富世達、宇瞻、宜鼎,,台達電、JPP-KY、晶呈科技,台達電、晶呈科技,台積電、創意、群聯、富喬、鴻海、奇鋐,2026/1/5 18:55
2025 11-10,無風,19,10,6,,,台達電,台達電、晶呈科技,台積電、鴻海、創意、奇鋐、台達電、群聯,2026/1/5 18:55
2025 11-07,無風,13,17,7,尖點、創意、遠傳,富喬、精確,台達電,台達電、世紀,尖點、鴻海、富喬、奇鋐、台達電、創意,2026/1/5 18:55
2025 11-06,陣風,16,17,10,創意、亞翔、綠界科技,富喬、精確,台達電、宇瞻、鈺邦,台達電、宇瞻、世紀,鴻海、創意、富喬、台達電、奇鋐、國巨,2026/1/5 18:55
2025 11-05,無風,21,8,6,富喬、創意、綠界科技,富喬、精確,台達電、定穎投控、宇瞻,台達電、信驊、定穎投控,鴻海、國巨、台達電、奇鋐、富喬、台燿,2026/1/5 18:55
2025 11-04,無風,15,13,9,創意、富喬、文曄,富喬、精確,台達電、定穎投控、宇瞻,台達電、威剛、宇瞻,鴻海、國巨、台達電、神達、創意、台燿,2026/1/5 18:55
2025 11-03,強風,30,20,7,富喬、亞翔、文曄,富喬,台達電、定穎投控、鈺邦,台達電、定穎投控、世紀,鴻海、國巨、台達電、金像電、神達、富喬,2026/1/5 18:55
2025 10-31,強風,22,22,11,神達、亞翔、JPP-KY,台燿、文曄,定穎投控、聖暉、竹陞科技,台達電、定穎投控、聖暉,台達電、台燿、鴻海、國巨、神達、創意,2026/1/5 18:55
2025 10-30,無風,23,20,9,京鼎、亞翔、文曄,台燿、文曄,聖暉、定穎投控、竹陞科技,聖暉、定穎投控、世紀,鴻海、台達電、國巨、奇鋐、神達、台燿,2026/1/5 18:55
2025 10-29,強風,30,25,9,亞翔、金寶、建準,台燿、文曄,聖暉、竹陞科技、鈺邦,信驊、聖暉、世紀,鴻海、國巨、台達電、奇鋐、神達、尖點,2026/1/5 18:55
2025 10-28,強風,33,21,7,奇鋐、建準、宏碩系統,文曄,聖暉、鈺邦、竹陞科技,信驊、世紀、鈺邦,國巨、鴻海、奇鋐、創意、雙鴻、台達電,2026/1/5 18:55
